mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0.04234015941619873,6.556510925292969e-06,0.003741025924682617,6.794929504394531e-05,3,sqrt,1,2,50,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.0,0.75,0.875,0.125,1,1.0,1.0,1.0,0.0
0.040010690689086914,0.001195669174194336,0.0034265518188476562,8.106231689453125e-05,10,log2,2,5,50,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.16538190841674805,0.00723576545715332,0.011899352073669434,0.0038083791732788086,10,log2,2,2,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.09366679191589355,0.00299072265625,0.005455136299133301,0.00041091442108154297,10,log2,2,2,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.051378488540649414,0.0036704540252685547,0.0034006834030151367,6.318092346191406e-06,10,log2,2,2,50,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.16798508167266846,0.0017150640487670898,0.008395791053771973,0.00010645389556884766,10,log2,1,5,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.08435392379760742,0.0017440319061279297,0.005189657211303711,0.00023937225341796875,10,log2,1,5,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.0539628267288208,0.0001691579818725586,0.0057381391525268555,7.37905502319336e-05,10,log2,1,5,50,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.17208755016326904,0.0039130449295043945,0.008963942527770996,0.0005878210067749023,10,log2,1,2,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",1.0,0.75,0.875,0.125,1,1.0,1.0,1.0,0.0
0.08346784114837646,0.002197861671447754,0.00502932071685791,0.0001386404037475586,10,log2,1,2,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.75,0.875,0.125,1,1.0,1.0,1.0,0.0
